t [s]               T [K]               y_o                 y_co                y_co2               y_c                 y_c2                y_c3                y_o2                y_n2                y_n                 y_no                
0                   800                 0.0217              0                   0                   0                   0                   0                   0.08                0.375               0.0013              0.022               
0.005               814.869             0.0432374           0.00299665          0.000750106         4.04859e-37         5.69632e-42         3.73982e-39         0.159401            0.74719             0.00259026          0.0438351           
0.01                826.844             0.0432378           0.00306668          0.000670964         1.84911e-36         3.26181e-41         1.94728e-38         0.159402            0.747197            0.00259028          0.0438355           
0.015               836.958             0.0432366           0.0031526           0.000611963         6.44658e-36         1.36956e-40         7.561e-38           0.159398            0.747177            0.00259021          0.0438344           
0.02                845.801             0.0432346           0.00324598          0.000565529         1.87457e-35         4.66857e-40         2.41066e-37         0.15939             0.747141            0.00259009          0.0438323           
0.025               853.731             0.043232            0.00334316          0.000527545         4.79067e-35         1.37203e-39         6.68001e-37         0.159381            0.747097            0.00258994          0.0438297           
0.03                860.974             0.0432291           0.00344237          0.000495581         1.11178e-34         3.60944e-39         1.66699e-36         0.15937             0.747047            0.00258976          0.0438267           
0.035               867.68              0.0432259           0.0035427           0.000468107         2.39402e-34         8.71284e-39         3.83501e-36         0.159358            0.746992            0.00258957          0.0438235           
0.04                873.956             0.0432226           0.00364364          0.000444103         4.85475e-34         1.96305e-38         8.26577e-36         0.159346            0.746934            0.00258937          0.0438201           
0.045               879.875             0.0432191           0.00374488          0.000422858         9.37052e-34         4.17899e-38         1.68852e-35         0.159333            0.746874            0.00258916          0.0438166           
0.05                885.495             0.0432155           0.00384624          0.000403856         1.73521e-33         8.48244e-38         3.29737e-35         0.15932             0.746812            0.00258895          0.043813            
0.055               890.858             0.0432119           0.00394761          0.000386715         3.10135e-33         1.65307e-37         6.19603e-35         0.159307            0.746749            0.00258873          0.0438093           
0.06                895.998             0.0432082           0.00404891          0.00037114          5.37546e-33         3.10987e-37         1.12609e-34         0.159293            0.746685            0.00258851          0.0438055           
0.065               900.941             0.0432044           0.00415009          0.0003569           9.0695e-33          5.67224e-37         1.98759e-34         0.159279            0.74662             0.00258828          0.0438017           
0.07                905.71              0.0432006           0.00425112          0.000343811         1.49413e-32         1.00661e-36         3.4184e-34          0.159265            0.746554            0.00258805          0.0437978           
0.075               910.324             0.0431967           0.00435198          0.000331725         2.40953e-32         1.74314e-36         5.74461e-34         0.159251            0.746487            0.00258782          0.0437939           
0.08                914.796             0.0431928           0.00445267          0.000320518         3.81188e-32         2.9527e-36          9.45452e-34         0.159236            0.74642             0.00258759          0.04379             
0.085               919.141             0.0431889           0.00455317          0.00031009          5.92634e-32         4.90259e-36         1.52689e-33         0.159222            0.746353            0.00258736          0.043786            
0.09                923.368             0.043185            0.00465349          0.000300353         9.06867e-32         7.99308e-36         2.42377e-33         0.159207            0.746285            0.00258712          0.043782            
0.095               927.489             0.0431811           0.00475364          0.000291236         1.36769e-31         1.28159e-35         3.78719e-33         0.159193            0.746216            0.00258688          0.043778            
0.1                 931.51              0.0431771           0.0048536           0.000282677         2.03525e-31         2.02352e-35         5.83215e-33         0.159178            0.746148            0.00258665          0.043774            
0.105               935.44              0.0431731           0.0049534           0.000274621         2.9914e-31          3.14986e-35         8.86141e-33         0.159164            0.746079            0.00258641          0.04377             
0.11                939.285             0.0431691           0.00505303          0.000267022         4.34657e-31         4.83891e-35         1.32973e-32         0.159149            0.74601             0.00258617          0.0437659           
0.115               943.05              0.0431651           0.0051525           0.000259841         6.24851e-31         7.34297e-35         1.97233e-32         0.159134            0.745941            0.00258593          0.0437619           
0.12                946.741             0.0431611           0.00525182          0.00025304          8.89348e-31         1.10158e-34         2.89392e-32         0.159119            0.745871            0.00258569          0.0437578           
0.125               950.361             0.0431571           0.00535099          0.000246589         1.25403e-30         1.63492e-34         4.20325e-32         0.159104            0.745802            0.00258545          0.0437537           
0.13                953.917             0.043153            0.00545003          0.00024046          1.7528e-30          2.40213e-34         6.04704e-32         0.15909             0.745732            0.0025852           0.0437496           
0.135               957.41              0.043149            0.00554893          0.000234627         2.42978e-30         3.49602e-34         8.6219e-32          0.159075            0.745662            0.00258496          0.0437455           
0.14                960.845             0.0431449           0.00564771          0.000229069         3.34209e-30         5.04271e-34         1.21895e-31         0.15906             0.745592            0.00258472          0.0437414           
0.145               964.224             0.0431409           0.00574637          0.000223766         4.56319e-30         7.21235e-34         1.70959e-31         0.159045            0.745522            0.00258448          0.0437373           
0.15                967.551             0.0431368           0.00584491          0.000218699         6.18713e-30         1.02331e-33         2.37962e-31         0.15903             0.745452            0.00258423          0.0437332           
0.155               970.828             0.0431328           0.00594336          0.000213853         8.33363e-30         1.44091e-33         3.28852e-31         0.159015            0.745382            0.00258399          0.0437291           
0.16                974.057             0.0431287           0.0060417           0.000209213         1.11544e-29         2.0143e-33          4.51361e-31         0.159               0.745312            0.00258375          0.043725            
0.165               977.241             0.0431246           0.00613995          0.000204765         1.48408e-29         2.79656e-33         6.1549e-31          0.158985            0.745241            0.0025835           0.0437208           
0.17                980.382             0.0431206           0.00623811          0.000200497         1.96331e-29         3.85722e-33         8.34113e-31         0.15897             0.745171            0.00258326          0.0437167           
0.175               983.481             0.0431165           0.00633619          0.000196398         2.58316e-29         5.28695e-33         1.12372e-30         0.158955            0.745101            0.00258302          0.0437126           
0.18                986.54              0.0431124           0.00643419          0.000192458         3.38106e-29         7.20338e-33         1.50533e-30         0.15894             0.74503             0.00258277          0.0437084           
0.185               989.561             0.0431083           0.00653211          0.000188667         4.40339e-29         9.75841e-33         2.00564e-30         0.158925            0.744959            0.00258253          0.0437043           
0.19                992.546             0.0431042           0.00662997          0.000185018         5.70751e-29         1.31473e-32         2.6584e-30          0.15891             0.744889            0.00258228          0.0437001           
0.195               995.496             0.0431001           0.00672777          0.000181501         7.36404e-29         1.76201e-32         3.50611e-30         0.158895            0.744818            0.00258204          0.043696            
0.2                 998.412             0.043096            0.0068255           0.00017811          9.45962e-29         2.34955e-32         4.60208e-30         0.158879            0.744747            0.00258179          0.0436918           
0.205               1001.3              0.0430919           0.00692318          0.000174837         1.21002e-28         3.11781e-32         6.01294e-30         0.158864            0.744676            0.00258155          0.0436877           
0.21                1004.15             0.0430878           0.00702081          0.000171678         1.54151e-28         4.11797e-32         7.82168e-30         0.158849            0.744606            0.0025813           0.0436835           
0.215               1006.97             0.0430837           0.00711839          0.000168624         1.95613e-28         5.41453e-32         1.01313e-29         0.158834            0.744535            0.00258105          0.0436794           
0.22                1009.76             0.0430796           0.00721593          0.000165672         2.4729e-28          7.0885e-32          1.30691e-29         0.158819            0.744464            0.00258081          0.0436752           
0.225               1012.53             0.0430755           0.00731343          0.000162817         3.11483e-28         9.24122e-32         1.67922e-29         0.158804            0.744393            0.00258056          0.043671            
0.23                1015.26             0.0430714           0.00741089          0.000160052         3.90961e-28         1.19991e-31         2.14937e-29         0.158789            0.744322            0.00258032          0.0436669           
0.235               1017.97             0.0430673           0.00750832          0.000157375         4.89055e-28         1.55193e-31         2.74102e-29         0.158773            0.744251            0.00258007          0.0436627           
0.24                1020.66             0.0430632           0.00760571          0.000154781         6.09753e-28         1.99967e-31         3.48307e-29         0.158758            0.74418             0.00257982          0.0436585           
0.245               1023.32             0.0430591           0.00770308          0.000152266         7.57828e-28         2.56719e-31         4.41075e-29         0.158743            0.744108            0.00257958          0.0436544           
0.25                1025.96             0.043055            0.00780042          0.000149826         9.38968e-28         3.28414e-31         5.56688e-29         0.158728            0.744037            0.00257933          0.0436502           
0.255               1028.57             0.0430508           0.00789773          0.000147459         1.15994e-27         4.18695e-31         7.00333e-29         0.158713            0.743966            0.00257908          0.043646            
0.26                1031.16             0.0430467           0.00799503          0.00014516          1.42879e-27         5.32026e-31         8.78284e-29         0.158698            0.743895            0.00257884          0.0436418           
0.265               1033.73             0.0430426           0.00809231          0.000142928         1.75502e-27         6.7386e-31          1.0981e-28          0.158682            0.743824            0.00257859          0.0436376           
0.27                1036.28             0.0430385           0.00818957          0.000140758         2.14988e-27         8.50844e-31         1.36889e-28         0.158667            0.743752            0.00257834          0.0436335           
0.275               1038.8              0.0430343           0.00828682          0.000138649         2.62664e-27         1.07106e-30         1.70157e-28         0.158652            0.743681            0.00257809          0.0436293           
0.28                1041.31             0.0430302           0.00838406          0.000136598         3.20092e-27         1.3443e-30          2.10921e-28         0.158637            0.74361             0.00257785          0.0436251           
0.285               1043.8              0.0430261           0.00848129          0.000134602         3.89103e-27         1.68243e-30         2.60744e-28         0.158621            0.743538            0.0025776           0.0436209           
0.29                1046.27             0.0430219           0.00857851          0.00013266          4.71849e-27         2.09974e-30         3.21488e-28         0.158606            0.743467            0.00257735          0.0436167           
0.295               1048.72             0.0430178           0.00867572          0.000130769         5.70843e-27         2.61349e-30         3.9537e-28          0.158591            0.743395            0.0025771           0.0436125           
0.3                 1051.15             0.0430137           0.00877293          0.000128927         6.89023e-27         3.24436e-30         4.85021e-28         0.158576            0.743324            0.00257686          0.0436083           
0.305               1053.56             0.0430095           0.00887014          0.000127133         8.29813e-27         4.0172e-30          5.93557e-28         0.15856             0.743252            0.00257661          0.0436041           
0.31                1055.96             0.0430054           0.00896735          0.000125384         9.97199e-27         4.96171e-30         7.24666e-28         0.158545            0.74318             0.00257636          0.0435999           
0.315               1058.33             0.0430012           0.00906455          0.000123679         1.19581e-26         6.11336e-30         8.82698e-28         0.15853             0.743109            0.00257611          0.0435957           
0.32                1060.7              0.0429971           0.00916176          0.000122016         1.43101e-26         7.51446e-30         1.07278e-27         0.158515            0.743037            0.00257586          0.0435915           
0.325               1063.04             0.0429929           0.00925897          0.000120393         1.70903e-26         9.21528e-30         1.30094e-27         0.158499            0.742965            0.00257561          0.0435873           
0.33                1065.37             0.0429888           0.00935619          0.00011881          2.03705e-26         1.12756e-29         1.57426e-27         0.158484            0.742894            0.00257536          0.0435831           
0.335               1067.69             0.0429846           0.00945341          0.000117265         2.42336e-26         1.3766e-29          1.90104e-27         0.158469            0.742822            0.00257512          0.0435789           
0.34                1069.99             0.0429805           0.00955064          0.000115756         2.87754e-26         1.67704e-29         2.29097e-27         0.158453            0.74275             0.00257487          0.0435747           
0.345               1072.27             0.0429763           0.00964788          0.000114282         3.41058e-26         2.03875e-29         2.75539e-27         0.158438            0.742678            0.00257462          0.0435705           
0.35                1074.55             0.0429722           0.00974513          0.000112843         4.03514e-26         2.47339e-29         3.30753e-27         0.158423            0.742607            0.00257437          0.0435662           
0.355               1076.8              0.042968            0.00984239          0.000111436         4.76573e-26         2.99467e-29         3.96277e-27         0.158407            0.742535            0.00257412          0.043562            
0.36                1079.05             0.0429639           0.00993966          0.000110061         5.61898e-26         3.61869e-29         4.739e-27           0.158392            0.742463            0.00257387          0.0435578           
0.365               1081.28             0.0429597           0.0100369           0.000108716         6.61392e-26         4.36435e-29         5.65701e-27         0.158377            0.742391            0.00257362          0.0435536           
0.37                1083.49             0.0429555           0.0101342           0.000107401         7.77232e-26         5.25377e-29         6.74085e-27         0.158361            0.742319            0.00257337          0.0435494           
0.375               1085.7              0.0429514           0.0102315           0.000106115         9.119e-26           6.31284e-29         8.01841e-27         0.158346            0.742247            0.00257312          0.0435451           
0.38                1087.89             0.0429472           0.0103289           0.000104857         1.06823e-25         7.57176e-29         9.52187e-27         0.158331            0.742175            0.00257287          0.0435409           
0.385               1090.07             0.042943            0.0104262           0.000103625         1.24944e-25         9.06575e-29         1.12884e-26         0.158315            0.742103            0.00257262          0.0435367           
0.39                1092.23             0.0429389           0.0105236           0.00010242          1.45919e-25         1.08358e-28         1.33609e-26         0.1583              0.74203             0.00257237          0.0435325           
0.395               1094.39             0.0429347           0.0106209           0.000101239         1.70165e-25         1.29296e-28         1.57886e-26         0.158284            0.741958            0.00257212          0.0435282           
0.4                 1096.53             0.0429305           0.0107183           0.000100084         1.98155e-25         1.54024e-28         1.86282e-26         0.158269            0.741886            0.00257187          0.043524            
0.405               1098.66             0.0429263           0.0108157           9.89518e-05         2.30422e-25         1.83184e-28         2.19449e-26         0.158254            0.741814            0.00257162          0.0435198           
0.41                1100.78             0.0429222           0.0109132           9.78428e-05         2.67573e-25         2.17518e-28         2.58132e-26         0.158238            0.741742            0.00257137          0.0435155           
0.415               1102.89             0.042918            0.0110106           9.67562e-05         3.10292e-25         2.57885e-28         3.03187e-26         0.158223            0.741669            0.00257112          0.0435113           
0.42                1104.98             0.0429138           0.0111081           9.56912e-05         3.59352e-25         3.05276e-28         3.55591e-26         0.158207            0.741597            0.00257087          0.043507            
0.425               1107.07             0.0429096           0.0112056           9.46473e-05         4.15626e-25         3.60834e-28         4.16461e-26         0.158192            0.741525            0.00257062          0.0435028           
0.43                1109.15             0.0429054           0.0113031           9.36239e-05         4.80097e-25         4.25875e-28         4.87072e-26         0.158177            0.741452            0.00257037          0.0434985           
0.435               1111.21             0.0429012           0.0114006           9.26202e-05         5.53872e-25         5.01914e-28         5.68877e-26         0.158161            0.74138             0.00257012          0.0434943           
0.44                1113.27             0.0428971           0.0114982           9.16359e-05         6.38194e-25         5.90692e-28         6.63532e-26         0.158146            0.741308            0.00256987          0.04349             
0.445               1115.31             0.0428929           0.0115957           9.06703e-05         7.34463e-25         6.94204e-28         7.72917e-26         0.15813             0.741235            0.00256962          0.0434858           
0.45                1117.35             0.0428887           0.0116933           8.9723e-05          8.44249e-25         8.14741e-28         8.99172e-26         0.158115            0.741163            0.00256936          0.0434815           
0.455               1119.37             0.0428845           0.011791            8.87934e-05         9.6931e-25          9.54924e-28         1.04472e-25         0.158099            0.74109             0.00256911          0.0434773           
0.46                1121.39             0.0428803           0.0118886           8.7881e-05          1.11162e-24         1.11775e-27         1.21232e-25         0.158084            0.741018            0.00256886          0.043473            
0.465               1123.4              0.0428761           0.0119863           8.69854e-05         1.27339e-24         1.30665e-27         1.40508e-25         0.158068            0.740945            0.00256861          0.0434688           
0.47                1125.4              0.0428719           0.012084            8.61061e-05         1.45708e-24         1.52552e-27         1.62653e-25         0.158053            0.740872            0.00256836          0.0434645           
0.475               1127.38             0.0428677           0.0121817           8.52427e-05         1.66545e-24         1.77883e-27         1.88066e-25         0.158037            0.7408              0.00256811          0.0434603           
0.48                1129.36             0.0428635           0.0122794           8.43948e-05         1.90158e-24         2.07164e-27         2.17196e-25         0.158022            0.740727            0.00256785          0.043456            
0.485               1131.33             0.0428593           0.0123772           8.3562e-05          2.16891e-24         2.40974e-27         2.50551e-25         0.158006            0.740654            0.0025676           0.0434517           
0.49                1133.3              0.0428551           0.012475            8.27438e-05         2.47125e-24         2.79969e-27         2.88704e-25         0.157991            0.740582            0.00256735          0.0434475           
0.495               1135.25             0.0428509           0.0125728           8.194e-05           2.81288e-24         3.24892e-27         3.32298e-25         0.157975            0.740509            0.0025671           0.0434432           
0.5                 1137.2              0.0428467           0.0126707           8.11501e-05         3.19852e-24         3.76591e-27         3.82058e-25         0.15796             0.740436            0.00256684          0.0434389           
0.505               1139.13             0.0428425           0.0127686           8.03737e-05         3.63345e-24         4.36021e-27         4.388e-25           0.157944            0.740363            0.00256659          0.0434346           
0.51                1141.06             0.0428383           0.0128665           7.96107e-05         4.12351e-24         5.04268e-27         5.03438e-25         0.157929            0.74029             0.00256634          0.0434304           
