t [s]               T [K]               Xfront [mm]         sdot [mm/s]         dodt [kg/m^2s]      dcodt [kg/m^2s]     dco2dt [kg/m^2s]    dcdt [kg/m^2s]      dc2dt [kg/m^2s]     dc3dt [kg/m^2s]     
0                   800                 0                   0                   0                   0                   0                   0                   0                   0                   
0.005               814.869             1.53926e-06         0.000307852         4.66866e-15         0.00109983          0.000275303         1.48591e-37         2.09066e-42         1.37258e-39         
0.01                826.844             3.08722e-06         0.000309592         1.06111e-14         0.00112552          0.000246254         6.78653e-37         1.19714e-41         7.14681e-39         
0.015               836.958             4.65665e-06         0.000313887         2.08403e-14         0.00115708          0.000224606         2.36606e-36         5.02663e-41         2.77508e-38         
0.02                845.801             6.25444e-06         0.000319558         3.71078e-14         0.00119141          0.000207573         6.88047e-36         1.71356e-40         8.84815e-38         
0.025               853.731             7.88468e-06         0.000326048         6.16207e-14         0.00122715          0.000193643         1.75849e-35         5.03622e-40         2.45199e-37         
0.03                860.974             9.54998e-06         0.00033306          9.71339e-14         0.00126366          0.000181923         4.08124e-35         1.32499e-39         6.11935e-37         
0.035               867.68              1.12521e-05         0.000340428         1.47046e-13         0.00130058          0.00017185          8.78883e-35         3.19862e-39         1.4079e-36          
0.04                873.956             1.29924e-05         0.000348048         2.15506e-13         0.00133774          0.00016305          1.78239e-34         7.20725e-39         3.03473e-36         
0.045               879.875             1.47716e-05         0.000355853         3.07532e-13         0.00137502          0.000155262         3.44061e-34         1.53442e-38         6.19982e-36         
0.05                885.495             1.65906e-05         0.000363798         4.2914e-13          0.00141236          0.000148298         6.37176e-34         3.11479e-38         1.21081e-35         
0.055               890.858             1.84499e-05         0.000371849         5.87492e-13         0.0014497           0.000142016         1.13893e-33         6.07067e-38         2.2754e-35          
0.06                895.998             2.03498e-05         0.000379985         7.91059e-13         0.00148703          0.000136308         1.97423e-33         1.14215e-37         4.13575e-35         
0.065               900.941             2.22907e-05         0.000388188         1.04979e-12         0.00152432          0.000131089         3.33122e-33         2.08341e-37         7.30039e-35         
0.07                905.71              2.4273e-05          0.000396444         1.37533e-12         0.00156157          0.000126293         5.48842e-33         3.69761e-37         1.25569e-34         
0.075               910.324             2.62967e-05         0.000404744         1.78121e-12         0.00159876          0.000121864         8.85178e-33         6.40367e-37         2.11037e-34         
0.08                914.796             2.83621e-05         0.000413079         2.28309e-12         0.0016359           0.000117758         1.40047e-32         1.08482e-36         3.47357e-34         
0.085               919.141             3.04693e-05         0.000421444         2.89905e-12         0.00167298          0.000113936         2.17752e-32         1.80136e-36         5.61027e-34         
0.09                923.368             3.26185e-05         0.000429834         3.64981e-12         0.00170999          0.000110369         3.33241e-32         2.93717e-36         8.90651e-34         
0.095               927.489             3.48097e-05         0.000438244         4.55911e-12         0.00174695          0.000107029         5.02622e-32         4.70982e-36         1.39179e-33         
0.1                 931.51              3.7043e-05          0.000446672         5.65398e-12         0.00178385          0.000103893         7.48018e-32         7.43707e-36         2.1435e-33          
0.105               935.44              3.93186e-05         0.000455115         6.96517e-12         0.0018207           0.000100941         1.09954e-31         1.15778e-35         3.25715e-33         
0.11                939.285             4.16365e-05         0.000463571         8.52746e-12         0.00185749          9.81574e-05         1.5978e-31          1.77878e-35         4.88807e-33         
0.115               943.05              4.39967e-05         0.000472038         1.03802e-11         0.00189423          9.55263e-05         2.29716e-31         2.69953e-35         7.25094e-33         
0.12                946.741             4.63992e-05         0.000480514         1.25676e-11         0.00193093          9.30348e-05         3.26985e-31         4.05016e-35         1.064e-32           
0.125               950.361             4.88442e-05         0.000488999         1.51395e-11         0.00196757          9.06714e-05         4.6111e-31          6.01163e-35         1.54555e-32         
0.13                953.917             5.13317e-05         0.000497492         1.81516e-11         0.00200417          8.84259e-05         6.44568e-31         8.83351e-35         2.22372e-32         
0.135               957.41              5.38616e-05         0.000505991         2.16663e-11         0.00204074          8.62891e-05         8.93603e-31         1.28574e-34         3.17089e-32         
0.14                960.845             5.64341e-05         0.000514497         2.5753e-11          0.00207726          8.4253e-05          1.22924e-30         1.85474e-34         4.48337e-32         
0.145               964.224             5.90492e-05         0.000523008         3.04893e-11         0.00211375          8.23101e-05         1.67853e-30         2.65299e-34         6.28858e-32         
